Country,Uri,Popularity,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release,Released_after_2017,Explicit_false,Explicit_true,album,compilation,single,bolero,boy band,country,dance/electronic,else,funk,hip hop,house,indie,jazz,k-pop,latin,metal,opm,pop,r&b/soul,rap,reggae,reggaeton,rock,trap,syuzhet_norm,bing_norm,afinn_norm,nrc_norm,syuzhet,bing,afinn,nrc,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,n_words,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,negative_norm,positive_norm,anger_norm2,anticipation_norm2,disgust_norm2,fear_norm2,joy_norm2,sadness_norm2,surprise_norm2,trust_norm2,negative_norm2,positive_norm2,negative_bog_jr,positive_bog_jr,Bayes,Negative_Bayes,Neutral_Bayes,Positive_Bayes,LDA_Topic,Celebrate,Desire,Explore,Fun,Hope,Love,Nostalgia,Thug,bing_norm_negative,bing_norm_neutral,bing_norm_positive,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Denmark,Ecuador,Finland,France,Germany,Global,Indonesia,Ireland,Italy,Malaysia,Mexico,Netherlands,New Zealand,Norway,Peru,Philippines,Poland,Portugal,Singapore,Spain,Sweden,Switzerland,Taiwan,Turkey,UK,USA,Popu_max,Top10_dummy,Top50_dummy,Cluster
Global,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,31833.95,adan y eva,Paulo Londra,single,argentine hip hop,11427104.0,False,Adan y Eva,2018-11-05,1,1,0.767,0.7090000000000001,1,-4.47,1,0.336,0.3229999999999999,0.0,0.0676,0.72,171.993,258639.0,4.0,hip hop,740.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,global
Global,https://open.spotify.com/track/5xhJmd0I15jFcEdqxfCzKk,418.0,it wont kill ya,The Chainsmokers - Louane,album,dance pop,16931568.0,False,Memories...Do Not Open,2017-04-07,7,12,0.5720000000000001,0.53,6,-8.521,0,0.0654,0.0647,0.000169,0.127,0.12,170.138,217613.0,4.0,pop,1314.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-7.0,-3.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,1.0,274.0,0.0,0.0036496350364963,0.0,0.0036496350364963,0.0036496350364963,0.0072992700729927,0.0,0.0036496350364963,0.0145985401459854,0.0036496350364963,0.0,0.166666666666667,0.0,0.166666666666667,0.166666666666667,0.333333333333333,0.0,0.166666666666667,0.8,0.2,0.0,0.0,-1.0,1.0,0.0,0.0,Desire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,global
Global,https://open.spotify.com/track/0wJJhRgdHhT93Z3iWdMB0T,56.0,hymn,Kesha,single,dance pop,5910376.0,True,Hymn,2017-08-03,1,1,0.488,0.5379999999999999,6,-4.974,1,0.076,0.147,0.0,0.305,0.38,67.03699999999999,205600.0,4.0,pop,1199.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,global
Global,https://open.spotify.com/track/6JSryEdVJTZq6YBn3wK2sn,78.4,arrows,Foo Fighters,album,alternative metal,8092392.0,False,Concrete and Gold,2017-09-15,7,11,0.515,0.917,1,-7.312,1,0.0417,0.000209,0.000476,0.145,0.409,121.988,266187.0,4.0,metal,1156.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,global
Global,https://open.spotify.com/track/7nAfXgeHfDO50upcOjJOaq,244.95,talking to myself,Linkin Park,album,alternative metal,17132813.0,False,One More Light,2017-05-19,3,10,0.593,0.7120000000000001,2,-6.325,0,0.0286,0.00184,0.0,0.128,0.473,124.013,231307.0,4.0,metal,1272.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.1,0.0,-3.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,3.0,254.0,0.0039370078740157,0.0039370078740157,0.0,0.0,0.0,0.0078740157480315,0.0039370078740157,0.0039370078740157,0.0118110236220472,0.0118110236220472,0.166666666666667,0.166666666666667,0.0,0.0,0.0,0.333333333333333,0.166666666666667,0.166666666666667,0.5,0.5,0.0,10.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,global
Global,https://open.spotify.com/track/5sCwso3aURYAdieWEFI1nE,316.65,icy,Logic - Gucci Mane,album,conscious hip hop,5004777.0,True,Confessions of a Dangerous Mind,2019-05-10,9,16,0.8270000000000001,0.522,7,-4.8660000000000005,1,0.0845,0.163,1.19e-06,0.109,0.477,151.99,265267.0,4.0,hip hop,554.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,global
Global,https://open.spotify.com/track/6MR5IBSNfDmiwnrlQpVw4w,88.39999999999998,club paradise,Drake,album,canadian hip hop,50593376.0,True,Care Package,2019-08-02,12,17,0.338,0.7290000000000001,6,-6.419,0,0.102,0.758,3.24e-05,0.18,0.5429999999999999,184.174,283816.0,4.0,hip hop,470.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.15,-4.0,-26.0,-5.0,12.0,10.0,7.0,6.0,10.0,8.0,9.0,11.0,17.0,12.0,646.0,0.0185758513931889,0.0154798761609907,0.0108359133126935,0.0092879256965944,0.0154798761609907,0.0123839009287926,0.0139318885448916,0.0170278637770898,0.0263157894736842,0.0185758513931889,0.164383561643836,0.136986301369863,0.0958904109589041,0.0821917808219178,0.136986301369863,0.1095890410958899,0.123287671232877,0.150684931506849,0.586206896551724,0.413793103448276,7.0,19.0,-1.0,1.0,0.0,0.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,global
Global,https://open.spotify.com/track/0kN8xEmgMW9mh7UmDYHlJP,7959.499999999997,versace on the floor,Bruno Mars,album,dance pop,27355260.0,False,24K Magic,2016-11-17,5,9,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.15200000000004,261240.0,4.0,pop,1449.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.55,2.0,2.0,4.0,0.0,4.0,0.0,2.0,4.0,1.0,1.0,3.0,2.0,6.0,286.0,0.0,0.013986013986014,0.0,0.0069930069930069,0.013986013986014,0.0034965034965035,0.0034965034965035,0.0104895104895105,0.0069930069930069,0.020979020979021,0.0,0.266666666666667,0.0,0.133333333333333,0.266666666666667,0.0666666666666667,0.0666666666666667,0.2,0.25,0.75,0.0,4.0,1.0,0.0,0.0,1.0,Desire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,global
Global,https://open.spotify.com/track/4wyNKAZe82BNlp2lHiR1FX,891.1999999999997,canguro,WOS,single,argentine indie,1559159.0,True,CANGURO,2019-08-09,1,1,0.602,0.7509999999999999,1,-4.3580000000000005,1,0.327,0.173,0.0,0.667,0.934,163.87400000000005,196745.0,4.0,indie,463.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0,0.0,global
Global,https://open.spotify.com/track/4PkIDTPGedm0enzdvilLNd,6575.749999999997,sixteen,Ellie Goulding,single,dance pop,8604850.0,False,Sixteen,2019-04-12,1,1,0.669,0.8009999999999999,8,-5.445,1,0.136,0.268,0.0,0.0594,0.541,109.919,201072.0,4.0,pop,582.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0,2.8,1.0,7.0,-2.0,1.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0,7.0,5.0,221.0,0.004524886877828,0.0090497737556561,0.004524886877828,0.0180995475113122,0.0135746606334842,0.0090497737556561,0.0135746606334842,0.0135746606334842,0.0316742081447964,0.0226244343891403,0.0526315789473684,0.1052631578947369,0.0526315789473684,0.2105263157894739,0.157894736842105,0.1052631578947369,0.157894736842105,0.157894736842105,0.583333333333333,0.4166666666666671,0.0,6.0,1.0,0.0,0.0,1.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,global
Global,https://open.spotify.com/track/4vaxvNDaLSoD36iZX515ug,1213.6,betrayed,Lil Xan,album,emo rap,2094628.0,True,TOTAL XANARCHY,2018-04-06,12,16,0.821,0.434,10,-9.194,0,0.118,0.434,0.0,0.128,0.241,120.012,187173.0,4.0,rap,953.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-2.25,-6.0,-24.0,-4.0,9.0,2.0,8.0,4.0,4.0,4.0,4.0,2.0,13.0,9.0,346.0,0.0260115606936416,0.0057803468208092,0.023121387283237,0.0115606936416185,0.0115606936416185,0.0115606936416185,0.0115606936416185,0.0057803468208092,0.0375722543352601,0.0260115606936416,0.243243243243243,0.0540540540540541,0.216216216216216,0.108108108108108,0.108108108108108,0.108108108108108,0.108108108108108,0.0540540540540541,0.590909090909091,0.409090909090909,6.0,8.0,0.0,0.0,1.0,0.0,Thug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,global
Global,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE,9.6,figurinha - ao vivo,Douglas & Vinicius - MC Bruninho,album,sertanejo pop,20857.0,False,Ao Vivo no Golf Estate,2020-07-10,2,9,0.591,0.757,7,-3.322,1,0.0734,0.346,0.0,0.931,0.574,76.094,206002.0,4.0,pop,127.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,global
Global,https://open.spotify.com/track/4lTiuD1DwBKo4L7wqMkD7C,1260.05,japan,Famous Dex,single,chicago rap,2039736.0,True,JAPAN,2018-03-16,1,1,0.733,0.6779999999999999,6,-7.771,1,0.439,0.121,0.0,0.345,0.841,175.984,144149.0,4.0,rap,974.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.35,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,6.0,6.0,531.0,0.0018832391713747,0.0037664783427495,0.0037664783427495,0.0037664783427495,0.0037664783427495,0.0018832391713747,0.0,0.0037664783427495,0.0112994350282486,0.0112994350282486,0.0833333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.0833333333333333,0.0,0.166666666666667,0.5,0.5,1.0,10.0,1.0,0.0,0.0,1.0,Thug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,global
Global,https://open.spotify.com/track/2b7rt5gCEy2p2zTp656s4U,76.80000000000003,how,Lil Baby,album,atl hip hop,5372519.0,True,My Turn,2020-02-28,3,20,0.5820000000000001,0.488,2,-8.208,1,0.455,0.00168,0.0,0.0941,0.309,80.322,182000.0,4.0,hip hop,260.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,global
Global,https://open.spotify.com/track/7BKUWh5sdtdS17crohRe4L,616.0,black spiderman,Logic - Damian Lemar Hudson,album,conscious hip hop,5004777.0,True,Everybody,2017-05-05,12,13,0.611,0.867,1,-5.297999999999999,1,0.0896,0.11,0.000105,0.346,0.336,140.032,331267.0,4.0,hip hop,1286.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.55,-2.0,-7.0,-2.0,8.0,6.0,6.0,5.0,8.0,10.0,2.0,9.0,13.0,11.0,527.0,0.0151802656546489,0.0113851992409867,0.0113851992409867,0.0094876660341556,0.0151802656546489,0.0189753320683112,0.0037950664136622,0.0170777988614801,0.0246679316888046,0.0208728652751423,0.148148148148148,0.111111111111111,0.111111111111111,0.0925925925925926,0.148148148148148,0.185185185185185,0.037037037037037,0.166666666666667,0.5416666666666671,0.4583333333333329,2.0,15.0,1.0,0.0,0.0,1.0,Hope,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,global
Global,https://open.spotify.com/track/2qqZ5fOGuNvYVzgPFDLQ4l,529.2,marys boy child / oh my lord,Boney M.,album,disco,789976.0,False,Worldmusic for Christmas,2017-11-10,10,30,0.7809999999999999,0.718,0,-8.722000000000001,1,0.0361,0.278,0.0,0.202,0.925,112.542,241427.0,4.0,funk,1100.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,global
Global,https://open.spotify.com/track/18O00Y7yrkJ0pRXm1n21Og,34.4,eleven,Khalid - Summer Walker,single,alternative r&b,12829933.0,False,Eleven (feat. Summer Walker),2020-05-01,1,1,0.679,0.408,4,-9.754,0,0.0882,0.133,0.00455,0.23,0.151,129.079,206080.0,4.0,r&b/soul,197.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-0.45,-1.0,-5.0,-1.0,3.0,2.0,3.0,4.0,4.0,6.0,2.0,4.0,9.0,8.0,203.0,0.0147783251231527,0.0098522167487684,0.0147783251231527,0.0197044334975369,0.0197044334975369,0.0295566502463054,0.0098522167487684,0.0197044334975369,0.0443349753694581,0.0394088669950739,0.107142857142857,0.0714285714285714,0.107142857142857,0.142857142857143,0.142857142857143,0.214285714285714,0.0714285714285714,0.142857142857143,0.529411764705882,0.470588235294118,1.0,9.0,-1.0,1.0,0.0,0.0,Explore,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,global
Global,https://open.spotify.com/track/2ZTYlnhhV1UAReg7wIGolx,6459.65,to die for,Sam Smith,single,pop,14303985.0,False,To Die For,2020-02-14,1,1,0.483,0.361,0,-7.8889999999999985,1,0.0738,0.8320000000000001,4.66e-06,0.098,0.307,171.649,193795.0,4.0,pop,274.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.15,1.0,0.0,-4.0,1.0,3.0,1.0,3.0,2.0,5.0,1.0,3.0,7.0,3.0,269.0,0.0037174721189591,0.0111524163568773,0.0037174721189591,0.0111524163568773,0.0074349442379182,0.0185873605947955,0.0037174721189591,0.0111524163568773,0.0260223048327138,0.0111524163568773,0.0526315789473684,0.157894736842105,0.0526315789473684,0.157894736842105,0.1052631578947369,0.263157894736842,0.0526315789473684,0.157894736842105,0.7,0.3,4.0,2.0,-1.0,1.0,0.0,0.0,Explore,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,global
Global,https://open.spotify.com/track/1mdJ39D1lrR3aWIOhgeNaE,1105.5,wir ticken,Capital Bra - Samra,single,german hip hop,3722987.0,True,Wir ticken,2019-03-15,1,1,0.63,0.6920000000000001,7,-4.9510000000000005,0,0.4270000000000001,0.275,0.0,0.1669999999999999,0.82,179.877,203067.0,4.0,hip hop,610.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,global
Global,https://open.spotify.com/track/2RCp9QBnFSxdKe8RD4xF8s,92.0,momentz,Gorillaz - De La Soul,album,alternative hip hop,6111598.0,True,Humanz (Deluxe),2017-04-28,5,26,0.7809999999999999,0.98,0,-5.077,1,0.285,0.0549,2.74e-06,0.597,0.487,140.235,196907.0,4.0,hip hop,1293.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,1.0,0.95,1.0,-2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,5.0,6.0,300.0,0.0066666666666666,0.0133333333333333,0.0033333333333333,0.0066666666666666,0.0033333333333333,0.0066666666666666,0.0033333333333333,0.0133333333333333,0.0166666666666667,0.02,0.117647058823529,0.235294117647059,0.0588235294117647,0.117647058823529,0.0588235294117647,0.117647058823529,0.0588235294117647,0.235294117647059,0.454545454545455,0.545454545454545,3.0,6.0,-1.0,1.0,0.0,0.0,Nostalgia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,global
Global,https://open.spotify.com/track/0usLRFLmYXYahKNgXxsuJc,183.7,trivia 起 : just dance,BTS,album,k-pop,24755789.0,False,Love Yourself 結 'Answer',2018-08-24,2,26,0.723,0.906,1,-4.7780000000000005,0,0.279,0.0907,0.0,0.0771,0.398,125.019,225221.0,4.0,k-pop,813.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,global
